index,Unnamed: 0,id,Species,time,inc,NDVIc,Flux,cum5
36364,36365,218A0270,Tilia cordata,2019-08-11 05:00:00,4.46656917235963,,,3.63423988705542
36365,36366,218A0270,Tilia cordata,2019-08-11 06:00:00,4.46656917235963,,,3.5922427543349476
36366,36367,218A0270,Tilia cordata,2019-08-11 07:00:00,4.46656917235963,,,3.5234531522862955
36367,36368,218A0270,Tilia cordata,2019-08-11 08:00:00,4.46656917235963,,,3.5256411391839775
36368,36369,218A0270,Tilia cordata,2019-08-11 09:00:00,4.46656917235963,,,3.575291277582391
36369,36370,218A0270,Tilia cordata,2019-08-11 10:00:00,4.46656917235963,,,3.6003118911932157
36370,36371,218A0270,Tilia cordata,2019-08-11 11:00:00,4.46656917235963,,,3.6024642578092574
36371,36372,218A0270,Tilia cordata,2019-08-11 12:00:00,4.46656917235963,,,3.5678670278504385
36372,36373,218A0270,Tilia cordata,2019-08-11 13:00:00,4.46656917235963,,,3.646123452364006
36373,36374,218A0270,Tilia cordata,2019-08-11 14:00:00,4.46656917235963,,,3.6482535295723624
36374,36375,218A0270,Tilia cordata,2019-08-11 15:00:00,3.38216386450503,,1.13092872284714,3.5552511943163636
36375,36376,218A0270,Tilia cordata,2019-08-11 16:00:00,3.51076945487387,0.809269294398938,0.762760965829956,3.5727360029754323
36376,36377,218A0270,Tilia cordata,2019-08-11 17:00:00,3.51076945487387,,,3.574894613922197
36377,36378,218A0270,Tilia cordata,2019-08-11 18:00:00,3.58010584208588,0.820404786461596,1.33426110788532,3.5449681208654638
36378,36379,218A0270,Tilia cordata,2019-08-11 19:00:00,3.58738965796774,0.7869535010934,1.13092872284713,3.5791718379791924
36379,36380,218A0270,Tilia cordata,2019-08-11 20:00:00,3.58738965796774,,,3.581324956936217
36380,36381,218A0270,Tilia cordata,2019-08-11 21:00:00,3.55369459296338,0.863695874664427,1.13092872284713,3.6316652829482834
36381,36382,218A0270,Tilia cordata,2019-08-11 22:00:00,3.46831910039256,7.23561363097939,0.0,3.531533544420048
36382,36383,218A0270,Tilia cordata,2019-08-11 23:00:00,3.46831910039256,,,3.5337041565532408
36383,36384,218A0270,Tilia cordata,2019-08-12 00:00:00,3.4334651236088,,0.0738170694927343,3.522346594743809
36384,36385,218A0270,Tilia cordata,2019-08-12 01:00:00,3.46627956793698,-1.39400467154056,7.41208523287723e-19,3.352185996420419
36385,36386,218A0270,Tilia cordata,2019-08-12 02:00:00,3.46627956793698,,,3.354429937239058
36386,36387,218A0270,Tilia cordata,2019-08-12 03:00:00,3.61542099598539,-1.39400467154056,7.41208523287723e-19,3.422261491798133
36387,36388,218A0270,Tilia cordata,2019-08-12 04:00:00,3.68884184348833,-1.39400467154056,1.7398360661665e-18,3.5421804744919623
36388,36389,218A0270,Tilia cordata,2019-08-12 05:00:00,3.68884184348833,,,3.544341056708693
36389,36390,218A0270,Tilia cordata,2019-08-12 06:00:00,3.78094499300947,,7.41208523287723e-19,3.4619357502946038
36390,36391,218A0270,Tilia cordata,2019-08-12 07:00:00,3.83399962820649,-1.46172716917031,0.0738170694927343,3.584399700948925
36391,36392,218A0270,Tilia cordata,2019-08-12 08:00:00,3.83399962820649,,,3.5865396733589936
36392,36393,218A0270,Tilia cordata,2019-08-12 09:00:00,3.80939890579902,4.83161631593355,0.0,3.5876939193372137
36393,36394,218A0270,Tilia cordata,2019-08-12 10:00:00,3.62086817789385,,0.575500861164026,2.9696065829860956
36394,36395,218A0270,Tilia cordata,2019-08-12 11:00:00,3.62086817789385,,,2.9720036869264956
36395,36396,218A0270,Tilia cordata,2019-08-12 12:00:00,3.43175754600475,0.820514485211483,0.429249951089139,3.018107341127737
36396,36397,218A0270,Tilia cordata,2019-08-12 13:00:00,3.51001162181027,0.779647112863849,1.0868961358764,3.2424193638528993
36397,36398,218A0270,Tilia cordata,2019-08-12 14:00:00,3.51001162181027,,,3.244698272735163
