id;device;profile;timestamp_utc;Angle1;Angle2;Amplitude;Direction;
23404389;2647;9;2020-08-26 10:41:34.34;;;0;1;
23404387;2647;9;2020-08-26 10:41:33.33;0;0;;;
23404386;2647;9;2020-08-26 10:41:33.33;;;0;1;
23404383;2647;9;2020-08-26 10:41:26.26;0;0;;;
23404316;2648;9;2020-08-26 10:40:02.02;;;0;4;
23404311;2648;9;2020-08-26 10:39:55.55;0;0;;;
23404212;2651;9;2020-08-26 10:38:11.11;;;0;4;
23404210;2651;9;2020-08-26 10:38:10.10;-7;0;;;
23403916;2650;9;2020-08-26 10:32:08.08;;;0;4;
23403911;2650;9;2020-08-26 10:32:04.04;0;0;;;
23403829;2644;9;2020-08-26 10:30:50.50;;;0;2;
23403827;2644;9;2020-08-26 10:30:47.47;1,5;-14;;;
23403439;2648;9;2020-08-26 10:22:52.52;0;0;;;
23403340;2648;9;2020-08-26 10:20:43.43;0;0;;;
23403338;2649;9;2020-08-26 10:20:42.42;;;0;2;
23403336;2649;9;2020-08-26 10:20:41.41;0;0;;;
23403335;2649;9;2020-08-26 10:20:40.40;;;0;2;
23403330;2649;9;2020-08-26 10:20:36.36;0;0;;;
23403319;2643;9;2020-08-26 10:20:17.17;;;0;4;
23403311;2643;9;2020-08-26 10:20:13.13;0;0;;;
23403307;2643;9;2020-08-26 10:20:11.11;;;0;4;
23403305;2643;9;2020-08-26 10:20:06.06;0;0;;;
23403089;2646;9;2020-08-26 10:15:23.23;;;0;4;
23403084;2646;9;2020-08-26 10:15:19.19;0;0;;;
23402925;2647;9;2020-08-26 10:11:33.33;;;0;1;
23402921;2647;9;2020-08-26 10:11:29.29;0;0;;;
23402841;2648;9;2020-08-26 10:09:41.41;;;0;4;
23402836;2648;9;2020-08-26 10:09:36.36;0;0;;;
23402741;2651;9;2020-08-26 10:07:55.55;;;0;2;
23402739;2651;9;2020-08-26 10:07:53.53;-7;0;;;
23402465;2650;9;2020-08-26 10:02:03.03;;;0,5;4;
23402463;2650;9;2020-08-26 10:01:58.58;0;0;;;
23402393;2644;9;2020-08-26 10:00:29.29;;;0;4;
23402390;2644;9;2020-08-26 10:00:24.24;1,5;-14;;;
