index,Unnamed: 0,id,Species,time,inc,NDVIc,Flux,dinc,dinc_cum,growth_cum
43718,43719,218A0281,Acer platanoides,2019-10-10 01:00:00,5.00425730700698,-1.40090840038224,6.01760912621657,-0.8969026485001903,-3156.7898549736938,3.553949828878081
43719,43720,218A0281,Acer platanoides,2019-10-10 02:00:00,,,,-0.8969026485001903,-3157.686757622194,3.554959572054091
43720,43721,218A0281,Acer platanoides,2019-10-10 03:00:00,5.19385549225554,-1.39528530403083,2.91323784415348,-0.7073044632516297,-3158.3940620854455,3.555755863442375
43721,43722,218A0281,Acer platanoides,2019-10-10 04:00:00,4.96492612493858,-1.39528530403083,6.94067616026601,-0.9362338305685904,-3159.330295916014,3.5568098861093245
43722,43723,218A0281,Acer platanoides,2019-10-10 05:00:00,,,,-0.9362338305685904,-3160.266529746583,3.5578639087762745
43723,43724,218A0281,Acer platanoides,2019-10-10 06:00:00,4.94494767180527,-1.39528530403083,3.60554500181499,-0.9562122837019,-3161.2227420302847,3.5589404234123942
43724,43725,218A0281,Acer platanoides,2019-10-10 07:00:00,4.92203469592505,-1.39528530403083,2.27462970405042,-0.97912525958212,-3162.2018672898666,3.5600427337366813
43725,43726,218A0281,Acer platanoides,2019-10-10 08:00:00,,,,-0.97912525958212,-3163.1809925494485,3.5611450440609675
43726,43727,218A0281,Acer platanoides,2019-10-10 09:00:00,4.94826454904379,-1.39528530403083,1.68968102807326,-0.9528954064633801,-3164.133887955912,3.5622178245190663
43727,43728,218A0281,Acer platanoides,2019-10-10 10:00:00,4.87493763040307,-0.281603478962109,0.0,-1.0262223251040998,-3165.1601102810164,3.5633731572539804
43728,43729,218A0281,Acer platanoides,2019-10-10 11:00:00,,,,-1.0262223251040998,-3166.1863326061207,3.564528489988894
43729,43730,218A0281,Acer platanoides,2019-10-10 12:00:00,4.99662441904657,-0.33996801132614,0.287260220275236,-0.9045355364606005,-3167.0908681425813,3.5655468263567562
43730,43731,218A0281,Acer platanoides,2019-10-10 13:00:00,4.96179298562726,-0.375998796878424,0.688876431595627,-0.9393669698799103,-3168.030235112461,3.566604376347484
43731,43732,218A0281,Acer platanoides,2019-10-10 14:00:00,,,,-0.9393669698799103,-3168.9696020823408,3.5676619263382126
43732,43733,218A0281,Acer platanoides,2019-10-10 15:00:00,5.05191176739736,-0.364962452809056,1.68968102807326,-0.8492481881098097,-3169.8188502704506,3.56861801958213
43733,43734,218A0281,Acer platanoides,2019-10-10 16:00:00,4.95572981480274,,1.15977075301253,-0.9454301407044303,-3170.764280411155,3.569682395559352
43734,43735,218A0281,Acer platanoides,2019-10-10 17:00:00,,,,-0.9454301407044303,-3171.7097105518596,3.570746771536575
43735,43736,218A0281,Acer platanoides,2019-10-10 18:00:00,5.08035460239424,-0.326087528582673,1.15977075301254,-0.82080535311293,-3172.5305159049726,3.5716708435142017
43736,43737,218A0281,Acer platanoides,2019-10-10 19:00:00,5.19456753394477,-0.0497480518206842,5.15579692339316,-0.7065924215623998,-3173.2371083265352,3.572466333277875
43737,43738,218A0281,Acer platanoides,2019-10-10 20:00:00,,,,-0.7065924215623998,-3173.943700748098,3.573261823041548
43738,43739,218A0281,Acer platanoides,2019-10-10 21:00:00,5.44956905059028,-1.40222237796167,48.2469715259848,-0.45159090491689025,-3174.3952916530147,3.5737702292050826
