Genum;zone;age_group;age_group_indexes;BCEF;BCEFs;BCEFb;BCEFr;BCEFf;BEF;R;C_V
Quercus;Southern taiga;Young;I;1.165;0.624;0.167;0.311;0.063;1.368589744;0.364168618;0.79462822;;;
Quercus;Southern taiga;Middle-aged;II;0.966;0.601;0.137;0.206;0.022;1.264559068;0.271052632;0.613918421;;;
Quercus;Southern taiga;Immature;III;0.967;0.603;0.142;0.204;0.018;1.265339967;0.267365662;0.612771298;;;
Quercus;Southern taiga;Mature;IV;0.989;0.612;0.15;0.212;0.017;1.272875817;0.272143774;0.629075096;;;
Other hard deciduous;Northern taiga;Young;I;1.172;0.601;0.176;0.333;0.062;1.396006656;0.396901073;0.818584029;;;
Other hard deciduous;Northern taiga;Middle-aged;II;1.008;0.597;0.151;0.235;0.025;1.29480737;0.304010349;0.657221216;;;
Other hard deciduous;Northern taiga;Immature;III;1.021;0.596;0.158;0.245;0.022;1.302013423;0.315721649;0.671675902;;;
Other hard deciduous;Northern taiga;Mature;IV;1.046;0.608;0.166;0.252;0.02;1.305921053;0.317380353;0.688989924;;;
Other hard deciduous;Middle taiga;Young;I;1.172;0.601;0.176;0.333;0.062;1.396006656;0.396901073;0.818584029;;;
Other hard deciduous;Middle taiga;Middle-aged;II;1.008;0.597;0.151;0.235;0.025;1.29480737;0.304010349;0.657221216;;;
Other hard deciduous;Middle taiga;Immature;III;1.021;0.596;0.158;0.245;0.022;1.302013423;0.315721649;0.671675902;;;
Other hard deciduous;Middle taiga;Mature;IV;1.046;0.608;0.166;0.252;0.02;1.305921053;0.317380353;0.688989924;;;
Other hard deciduous;Southern taiga;Young;I;1.172;0.601;0.176;0.333;0.062;1.396006656;0.396901073;0.818584029;;;
Other hard deciduous;Southern taiga;Middle-aged;II;1.008;0.597;0.151;0.235;0.025;1.29480737;0.304010349;0.657221216;;;
Other hard deciduous;Southern taiga;Immature;III;1.021;0.596;0.158;0.245;0.022;1.302013423;0.315721649;0.671675902;;;
Other hard deciduous;Southern taiga;Mature;IV;1.046;0.608;0.166;0.252;0.02;1.305921053;0.317380353;0.688989924;;;
Betula;Northern taiga;Young;I;1.135;0.534;0.15;0.366;0.085;1.440074906;0.475942783;0.837597529;;;
Betula;Northern taiga;Middle-aged;II;0.976;0.53;0.116;0.284;0.046;1.305660377;0.410404624;0.688277457;;;
Betula;Northern taiga;Immature;III;0.909;0.537;0.103;0.243;0.026;1.240223464;0.364864865;0.620331081;;;
Betula;Northern taiga;Mature;IV;0.889;0.528;0.108;0.227;0.026;1.253787879;0.342900302;0.596919184;;;
Betula;Middle taiga;Young;I;1.012;0.528;0.131;0.287;0.066;1.373106061;0.395862069;0.706306207;;;
Betula;Middle taiga;Middle-aged;II;0.849;0.534;0.092;0.198;0.026;1.220973783;0.303680982;0.553412577;;;
Betula;Middle taiga;Immature;III;0.801;0.533;0.084;0.166;0.018;1.191369606;0.261417323;0.505197638;;;
Betula;Middle taiga;Mature;IV;0.795;0.528;0.089;0.161;0.017;1.200757576;0.253943218;0.498442429;;;
Betula;Southern taiga;Young;I;0.943;0.524;0.118;0.244;0.057;1.333969466;0.3490701;0.636086552;;;
Betula;Southern taiga;Middle-aged;II;0.806;0.532;0.083;0.169;0.022;1.197368421;0.265306122;0.509918367;;;
Betula;Southern taiga;Immature;III;0.767;0.532;0.076;0.143;0.016;1.172932331;0.229166667;0.471385417;;;
Betula;Southern taiga;Mature;IV;0.761;0.527;0.083;0.137;0.015;1.185958254;0.2192;0.4639056;;;
Populus;Northern taiga;Young;I;0.866;0.403;0.093;0.305;0.065;1.392059553;0.543672014;0.668409982;;;
Populus;Northern taiga;Middle-aged;II;0.733;0.426;0.08;0.202;0.025;1.246478873;0.380414313;0.505921846;;;
Populus;Northern taiga;Immature;III;0.686;0.431;0.07;0.167;0.017;1.201856148;0.322393822;0.453581081;;;
Populus;Northern taiga;Mature;IV;0.661;0.444;0.069;0.135;0.012;1.182432432;0.257142857;0.415485714;;;
Populus;Middle taiga;Young;I;0.866;0.403;0.093;0.305;0.065;1.392059553;0.543672014;0.668409982;;;
Populus;Middle taiga;Middle-aged;II;0.733;0.426;0.08;0.202;0.025;1.246478873;0.380414313;0.505921846;;;
Populus;Middle taiga;Immature;III;0.686;0.431;0.07;0.167;0.017;1.201856148;0.322393822;0.453581081;;;
Populus;Middle taiga;Mature;IV;0.661;0.444;0.069;0.135;0.012;1.182432432;0.257142857;0.415485714;;;
Populus;Southern taiga;Young;I;0.866;0.403;0.093;0.305;0.065;1.392059553;0.543672014;0.668409982;;;
Populus;Southern taiga;Middle-aged;II;0.733;0.426;0.08;0.202;0.025;1.246478873;0.380414313;0.505921846;;;
Populus;Southern taiga;Immature;III;0.686;0.431;0.07;0.167;0.017;1.201856148;0.322393822;0.453581081;;;
Populus;Southern taiga;Mature;IV;0.661;0.444;0.069;0.135;0.012;1.182432432;0.257142857;0.415485714;;;
Other soft deciduous;Northern taiga;Young;I;0.815;0.415;0.106;0.239;0.055;1.387951807;0.414930556;0.576584201;;;
Other soft deciduous;Northern taiga;Middle-aged;II;0.732;0.442;0.077;0.192;0.02;1.219457014;0.356215213;0.496374768;;;
Other soft deciduous;Northern taiga;Immature;III;0.664;0.45;0.059;0.142;0.013;1.16;0.272030651;0.422314176;;;
Other soft deciduous;Northern taiga;Mature;IV;0.682;0.457;0.064;0.15;0.011;1.164113786;0.281954887;0.437146617;;;
Other soft deciduous;Middle taiga;Young;I;0.815;0.415;0.106;0.239;0.055;1.387951807;0.414930556;0.576584201;;;
Other soft deciduous;Middle taiga;Middle-aged;II;0.732;0.442;0.077;0.192;0.02;1.219457014;0.356215213;0.496374768;;;
Other soft deciduous;Middle taiga;Immature;III;0.664;0.45;0.059;0.142;0.013;1.16;0.272030651;0.422314176;;;
Other soft deciduous;Middle taiga;Mature;IV;0.682;0.457;0.064;0.15;0.011;1.164113786;0.281954887;0.437146617;;;
Other soft deciduous;Southern taiga;Young;I;0.815;0.415;0.106;0.239;0.055;1.387951807;0.414930556;0.576584201;;;
Other soft deciduous;Southern taiga;Middle-aged;II;0.732;0.442;0.077;0.192;0.02;1.219457014;0.356215213;0.496374768;;;
Other soft deciduous;Southern taiga;Immature;III;0.664;0.45;0.059;0.142;0.013;1.16;0.272030651;0.422314176;;;
Other soft deciduous;Southern taiga;Mature;IV;0.682;0.457;0.064;0.15;0.011;1.164113786;0.281954887;0.437146617;;;
