№;Участок;Вид ;Класс возраста;Уровень антропогенной нагрузки на уровне участка;Уровень антропогенной нагрузки на уровне дерева;Иденткификатор устройства;Диаметр ствола,см;Обхват ствола на высоте 1,3м , см;Обхват ствола на высоте установки, см;Высота установки, м;Категория состояни дерева
128;MS-4;Quercus robur;VI;Средний;высокий;218A0081;37.561;118;114;3.75;2
129;MS-4;Quercus robur;VI;Средний;высокий;218A0083;46.473;146;140;3.5;2
130;MS-4;Quercus robur;VI;Средний;высокий;218A0086;46.155;145;127;3.5;3
131;MS-4;Quercus robur;VI;Средний;высокий;218A0170;40.425;127;111;3.6;2
132;MS-4;Quercus robur;VI;Средний;высокий;218A0179;46.155;145;131;3.6;3
133;MS-4;Quercus robur;VI;Средний;высокий;218A0296;37.561;118;114;3.5;2
134;MS-4;Tilia cordata;IV;Средний;высокий;218A0236;32.786;103;96;3.8;2
135;MS-4;Tilia cordata;IV;Средний;высокий;218A0237;31.194;98;89;3.55;4
136;MS-4;Tilia cordata;VI;Средний;высокий;218A0117;51.248;161;146;3.45;2
137;MS-4;Tilia cordata;VI;Средний;высокий;218A0292;38.834;122;121;3;3
138;MS-5;Salix alba;III;Высокий;высокий;218A0098;28.648;90;79;3.5;2
139;MS-5;Salix alba;III;Высокий;высокий;218A0189;28.011;88;78;3.47;2
140;MS-5;Salix alba;III;Высокий;высокий;218A0227;35.014;110;118;3.5;2
141;MS-5;Salix alba;III;Высокий;высокий;218A0242;33.104;104;93;3.5;2
142;MS-5;Salix alba;IV;Высокий;высокий;218A0074;53.476;168;157;3.5;2
143;MS-5;Salix alba;IV;Высокий;высокий;218A0076;46.473;146;124;3.6;3
144;MS-5;Salix alba;IV;Высокий;высокий;218A0125;43.608;137;119;3.5;3
145;MS-5;Salix alba;IV;Высокий;высокий;218A0127;54.113;170;138;3.8;2
146;MS-5;Salix alba;IV;Высокий;высокий;218A0128;55.068;173;142;3.6;2
147;MS-5;Salix alba;IV;Высокий;высокий;218A0144;37.242;117;105;3.6;3
148;MS-5;Salix alba;IV;Высокий;высокий;218A0162;63.025;198;151;4;2
149;MS-5;Salix alba;IV;Высокий;высокий;218A0174;55.704;175;138;3.55;2
