id;leaves_quality ;crown_density;dry branches;asimmetry);crown_codominance;wounds;cracks;cavities;fungi;trunk_inclination;curvature;trunk_codominance;pruning;trunk_rot;trunk_cavities;outgrowthing;insects;epicormic_shoots;superficial_roots;raised_roots;winding_roots;roots_damages;asphalt
0062;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0064;3;3;2;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1
0069;1;2;1;1;1;1;2;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1
0071;2;2;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0080;1;1;1;1;1;2;2;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1
0084;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1
0085;2;1;1;2;2;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1
0090;1;1;1;1;1;1;2;1;1;1;1;3;2;1;1;2;1;1;1;1;1;1;1
0100;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0102;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0103;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0106;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0107;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1
0108;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1
0109;1;2;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0110;1;2;1;3;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1
0113;2;3;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0114;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0115;2;3;3;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0118;1;3;2;1;1;2;1;1;1;1;2;1;2;1;1;2;1;1;1;1;2;1;1
0119;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0122;1;3;2;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1
0123;1;2;1;2;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;1;1;1
0124;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0129;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0135;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0136;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0137;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0139;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1
0140;1;2;1;2;1;1;3;1;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1
0141;1;3;2;2;1;2;3;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1
0142;2;2;1;3;2;2;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1
0146;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0147;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1
0149;1;2;1;1;1;1;3;1;1;1;1;1;2;2;1;2;1;1;2;1;1;1;1
0151;1;1;1;1;2;1;2;1;1;1;2;1;2;1;1;2;2;1;1;1;1;1;1
0155;1;1;1;2;2;2;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1
0165;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1
0168;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0171;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0173;3;3;1;2;1;2;3;1;1;1;2;1;1;1;3;2;1;1;1;1;1;1;1
0175;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1
0178;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;2;2;1;1;1;1;1;1
0188;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0192;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1
0198;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0206;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;2;1
0220;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;2;1;1
0221;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0224;1;1;1;1;1;1;3;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1
0226;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0230;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0233;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0238;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1
0240;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0245;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1
0268;1;2;1;2;1;2;2;1;1;1;2;1;1;1;1;1;1;1;2;1;2;1;1
0280;2;1;1;2;2;2;3;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1
0284;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0061;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0063;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0065;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0072;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0073;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0075;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0082;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0087;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0096;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0101;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0112;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0116;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0120;3;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0124;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0126;1;2;1;2;1;1;1;1;1;1;2;;1;1;1;1;1;1;1;1;1;1;1
0143;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0145;2;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0150;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0154;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0158;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0163;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0172;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0176;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0177;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0180;3;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0181;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0183;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0195;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0203;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0204;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0208;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0209;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1
0213;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0217;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0218;2;2;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1
0219;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0222;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
0223;3;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
