"","Site","SiteIndex","Species","age_group_index","antrop_load","in_site_antrop_load","id","d","DBH","DTT","installation_height","VTA_score"
"48","BOLOTNAYA","MS-6","Betula pendula","IV","High","Low","218A0210",21.0084524881302,66,52,3.55,1
"49","BOLOTNAYA","MS-6","Betula pendula","VI","High","Low","218A0285",23.8732414637843,75,60,3.35,1
"50","BOLOTNAYA","MS-6","Larix sibirica","IV","High","Low","218A0277",26.1014106670708,82,75,3.62,2
"51","BOLOTNAYA","MS-6","Larix sibirica","V","High","Low","218A0079",32.1492985045629,101,96,3.7,3
"52","BOLOTNAYA","MS-6","Larix sibirica","VI","High","Low","218A0138",40.7436654315252,128,113,3.85,2
"53","BOLOTNAYA","MS-6","Tilia cordata","III","High","High","218A0270",25.1464810085195,79,34,3.74,3
"54","BOLOTNAYA","MS-6","Tilia cordata","IV","High","High","218A0111",28.0112699841736,88,80,4.07,3
"55","BOLOTNAYA","MS-6","Tilia cordata","IV","High","High","218A0153",35.3323973664008,111,97,3.75,2
"56","BOLOTNAYA","MS-6","Tilia cordata","VI","High","High","218A0121",37.8788764558711,119,100,3.56,1
"57","BOLOTNAYA","MS-6","Tilia cordata","VI","High","High","218A0186",40.4253555453414,127,109,3.6,3
"58","BOLOTNAYA","MS-6","Tilia cordata","VI","High","Low","218A0248",37.8788764558711,119,100,3.5,2
"59","SCHOOL1234","MS-7","Acer fraxinifolium","IV","High","High","218A0099",28.0112699841736,88,81,3.8,3
"60","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0001",27.6929600979898,87,84,3.49,2
"61","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0067",35.9690171387684,113,117,3.76,3
"62","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0095",36.2873270249521,114,118,3.76,2
"63","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0130",25.783100780887,81,84,3.8,3
"64","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0131",26.4197205532546,83,80,3.7,3
"65","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0157",31.1943688460115,98,94,3.16,3
"66","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0160",25.4647908947033,80,87,3.25,3
"67","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0190",39.47042588679,124,121,3.93,3
"68","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0191",28.6478897565412,90,80,4.05,3
"69","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0196",37.8788764558711,119,116,3.26,3
"70","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0201",21.9633821466816,69,79,3.96,3
"71","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0205",47.7464829275686,150,121,3.43,3
"72","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0211",49.0197224723038,154,150,3.04,2
"73","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0232",29.9211293012763,94,69,3.94,3
"74","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0252",36.2873270249521,114,118,4,2
"75","SCHOOL1234","MS-7","Acer fraxinifolium","VI","High","High","218A0254",46.4732433828334,146,131,3.4,3
"76","SCHOOL1234","MS-7","Populus nigra","VI","High","High","218A0092",67.1633859847798,211,166,3.8,3
"77","SCHOOL1234","MS-7","Populus nigra","VI","High","High","218A0215",90.7183175623803,285,207,3.7,3
"78","RUDN","OL-1","Acer platanoides","IV","Medium","High","218A0085",24.8281711223357,78,62,3.7,2
"79","RUDN","OL-1","Acer platanoides","IV","Medium","High","218A0155",23.5549315776005,74,55,3.5,2
"80","RUDN","OL-1","Acer platanoides","IV","Medium","High","218A0173",24.1915513499681,76,62,3.5,2
"81","RUDN","OL-1","Acer platanoides","IV","Medium","High","218A0268",19.0985931710274,60,60,3.5,2
"82","RUDN","OL-1","Acer platanoides","IV","Medium","High","218A0280",22.2816920328653,70,53,3.5,2
"83","RUDN","OL-1","Acer platanoides","VI","Medium","High","218A0071",29.6028194150925,93,81,3.5,3
"84","RUDN","OL-1","Acer platanoides","VI","Medium","High","218A0142",26.7380304394384,84,62,3.5,1
"85","RUDN","OL-1","Acer platanoides","VI","Medium","High","218A0147",26.7380304394384,84,68,3.5,2
"86","RUDN","OL-1","Acer platanoides","VI","Medium","High","218A0178",26.1014106670708,82,67,3.4,1
"87","RUDN","OL-1","Acer platanoides","VI","Medium","Low","218A0171",26.1014106670708,82,74,3.5,3
"88","RUDN","OL-1","Betula pendula","IV","Medium","Low","218A0221",21.9633821466816,69,66,3.5,2
"89","RUDN","OL-1","Betula pendula","VI","Medium","Low","218A0062",25.4647908947033,80,64,3.5,1
"90","RUDN","OL-1","Betula pendula","VI","Medium","Low","218A0146",30.8760589598277,97,80,3.5,2
"91","RUDN","OL-1","Betula pendula","VI","Medium","Low","218A0168",30.2394391874601,95,71,3.5,1
"92","RUDN","OL-1","Betula pendula","VI","Medium","Low","218A0230",26.7380304394384,84,69,3.5,1
"93","RUDN","OL-1","Betula pendula","VI","Medium","Low","218A0233",28.6478897565412,90,65,3.5,1
"94","RUDN","OL-1","Betula pendula","VI","Medium","Low","218A0240",33.7408479354818,106,83,3.5,1
"95","RUDN","OL-1","Betula pendula","VI","Medium","Low","218A0283",24.5098612361519,77,64,3.7,1
