id;Species;DBH;DTT;height;TTCloud;Site;d;age_group;VTAscore
218A0255;Acer  pseudoplatanus;108;102;3.76;C18A0024;Bolotnaya;34.37746771;6;2
218A0256;Tilia cordata;102;94;3.5;NA;Timiryazev;32.46760839;6;2
218A0257;Tilia cordata;87;79;3.5;NA;Timiryazev;27.6929601;4;2
218A0258;Larix siberica;111.5;102;3.5;NA;Timiryazev;35.49155231;5;3
218A0259;Quercus robur;132;121;3.5;NA;Timiryazev;42.01690498;6;3
218A0261;Picea abies;127;103;3.5;C18A0027;Troick;40.42535555;5;3
218A0262;Acer  pseudoplatanus;109;106;3.35;C18A0024;Bolotnaya;34.69577759;6;1
218A0263;Quercus robur;122;110.5;3.5;NA;Timiryazev;38.83380611;6;2
218A0263;Tilia cordata;129;112;3.7;C18A0027;Troick;41.06197532;6;2
218A0264;Larix siberica;181;153.5;3.5;NA;Timiryazev;57.6140894;6;3
218A0265;Fraxinus ornus;110;100;3.89;NA;Botanical;35.01408748;6;2
218A0267;Salix alba;117;93;3.5;C21870015;Scherbinka;37.24225668;4;3
218A0268;Acer platanoides;60;60;3.5;C18A0031;RUDN;19.09859317;4;2
218A0270;Tilia cordata;79;34;3.74;C18A0024;Bolotnaya;25.14648101;3;3
218A0271;Fraxinus excelsior;167;145;3.23;NA;Botanical;53.15775099;6;3
218A0272;Junglas cinerea;140;131;3.9;NA;Botanical;44.56338407;6;2
218A0274;Salix alba;194;106;3.5;C21870015;Scherbinka;61.75211792;4;2
218A0275;Quercus robur;174;157;3.5;NA;Timiryazev;55.3859202;6;2
218A0277;Larix decidua;82;75;3.62;C18A0024;Bolotnaya;26.10141067;4;2
218A0278;Prunus avium;114;94;3.7;NA;Botanical;36.28732702;6;2
218A0279;Tilia cordata;130;118;3.6;NA;Timiryazev;41.3802852;6;2
218A0280;Acer platanoides;70;53;3.5;C18A0031;RUDN;22.28169203;4;2
218A0281;Acer  pseudoplatanus;144;107;3.22;C18A0024;Bolotnaya;45.83662361;6;4
218A0282;Larix siberica;94;88;3.4;NA;Timiryazev;29.9211293;5;3
218A0283;Betula pendula;77;64;3.7;C18A0028;RUDN;24.50986124;6;1
218A0284;Betula pendula;114;95;3.42;C18A0027;Troick;36.28732702;6;3
218A0285;Betula pendula;75;60;3.35;C18A0024;Bolotnaya;23.87324146;6;1
218A0286;Picea abies;140;120;3.6;C18A0027;Troick;44.56338407;5;3
218A0287;Acer platanoides;93;80;3.5;C18A0030;Timiryazev;29.60281942;6;2
218A0289;Tilia cordata;145;133;3.6;NA;Timiryazev;46.1549335;6;3
218A0290;Salix alba;122;98;3.45;C21870015;Scherbinka;38.83380611;4;2
218A0291;Quercus robur;123;115;3.5;NA;Timiryazev;39.152116;6;2
218A0292;Tilia cordata;122;121;3;C18A0027;Troick;38.83380611;6;3
218A0293;Acer platanoides;62;62;3.5;C18A0030;Timiryazev;19.73521294;4;3
218A0294;Carpinus betulus;113;111;3.55;NA;Botanical;35.96901714;4;2
218A0295;Picea abies;138;116;3.5;C18A0027;Troick;43.92676429;6;3
218A0296;Quercus robur;118;114;3.5;C18A0027;Troick;37.56056657;6;2
218A0298;Tilia cordata;88.5;83;3.5;NA;Timiryazev;28.17042493;4;2
218A0299;Salix alba;142;126;3.5;C21870015;Scherbinka;45.20000384;4;2
218A0276;Quercus robur;231;231;1.5;C21870012;SPBFU;73.52958371;6;1
218A0134;Tilia cordata;301;301;1.5;C21870012;SPBFU;95.81127574;6;1
218A0234;Tilia cordata;223;223;1.5;C21870012;SPBFU;70.98310462;6;1
218A0239;Tilia cordata;120;120;1.5;C21870012;SPBFU;38.19718634;5;1
218A0159;Tilia cordata;126;126;1.5;C21870012;SPBFU;40.10704566;5;1
218A0156;Quercus robur;338;338;1.5;C21870012;SPBSG;107.5887415;6;1
218A0164;Tilia cordata;157;157;1.5;C21870012;SPBSG;49.97465213;6;1
218A0169;Tilia cordata;243;243;1.5;C21870012;SPBSG;77.34930234;6;1
218A0207;Tilia cordata;289;289;1.5;C21870012;SPBSG;91.99155711;6;1
218A0202;Tilia cordata;133;133;1.5;C21870012;SPBSG;42.33521486;6;1
